Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorus,Fertilizer Name,pH_Level,Rainfall,Previous_Crop,Season,Field_Orientation
31,53,58,Clayey,Tobacco,26,60,33,17-17-17,6.897371322408986,50.83115160975177,Root Crops,Autumn,Slope
28,72,30,Clayey,Tobacco,20,27,43,20-20,6.389388559063052,164.75679120941655,None,Summer,Flat
37,72,64,Loamy,Pulses,10,20,73,Urea,7.018150830480554,324.21478104795693,None,Summer,Flat
39,66,25,Red,Cotton,81,95,55,Urea,7.718423885126421,334.3264778156604,Root Crops,Summer,Flat
35,74,32,Sandy,Maize,98,6,36,Urea,6.312677300221331,66.06777450369844,Cereals,Autumn,Flat
32,51,41,Clayey,Barley,96,59,56,Urea,6.312690434440656,87.02672410957612,Cereals,Summer,Flat
37,70,37,Loamy,Paddy,35,77,80,DAP,7.763370252405913,51.46110351013661,Legumes,Spring,Flat
29,71,43,Loamy,Wheat,55,0,92,Urea,7.1139477833223275,310.60211367828595,None,Spring,Flat
31,50,59,Black,Millets,98,31,35,Urea,6.124420491252038,71.26586774765572,Cereals,Autumn,Flat
34,79,57,Loamy,Paddy,43,90,85,10-26-26,6.934048034868772,82.3700456659688,None,Autumn,Flat
27,77,57,Loamy,Millets,80,67,26,Urea,6.12926584575003,118.2867948724198,Cereals,Summer,Flat
31,67,63,Black,Maize,58,94,2,Urea,6.127416197143795,325.1748654936004,Cereals,Spring,Slope
35,56,62,Black,Barley,14,61,72,14-35-14,6.693569817252827,256.4702021859446,Legumes,Spring,Slope
35,71,62,Clayey,Paddy,81,2,31,Urea,4.969375804273762,235.0644079302347,Cereals,Autumn,Slope
32,55,33,Red,Sugarcane,51,60,16,DAP,5.120065733989573,285.3970717019438,Cereals,Summer,Flat
29,55,61,Clayey,Tobacco,26,2,81,DAP,6.050169976607222,257.98534929275684,None,Spring,Flat
28,63,25,Red,Paddy,15,61,0,20-20,5.689735103732461,273.77804620435523,None,Autumn,Flat
32,79,60,Sandy,Paddy,22,11,38,20-20,6.7513978660762195,72.09693160938915,Cereals,Spring,Flat
32,72,62,Black,Millets,94,58,69,Urea,5.773580739583031,226.92958893229905,None,Summer,Flat
27,75,26,Clayey,Tobacco,36,69,42,14-35-14,5.370157038931767,275.9621861767637,Root Crops,Autumn,Flat
